"url_object_id","question_id","author_id","author_name","content","praise_num","comments_num","url","create_time","update_time","crawl_time","answer_id"
"0012a13dd3f7295a65c41f579343d25f","299171677","0","匿名用户","好羡慕你们怀孕老公对你们都特别好","0","0",,"6/11/2018 00:14:01","6/11/2018 00:14:01","7/4/2019 18:41:03","525714725"
"001e8e38f805e6ec0417d1d822c806ea","52231322","f02e16aaadf9d212f896d56e2383b6cc","冷风嗖嗖","记得在上小学时有篇课文描写雾，全是若隐若现、朦胧美、犹如仙境等描写美的词语，唐诗宋词里更是用雾衬托感情，比如描写雾的（芳菲夕雾起，暮色满房栊。）（闭门沧海曲，云雾待君开。） ，现在一提到雾，后面就得加个霾字，与之而来的是口罩、PM2.5爆表、重污染、封高速、限产停课，没一个好词了。","1","2",,"19/12/2016 17:08:01","19/12/2016 17:08:01","7/4/2019 18:32:09","136612032"
"0022dabc7df3d54513618fd5e68a00a2","26753619","377544e1e55ba84396c1eb857f4c1e5c","娃娃","不作不渣。","0","0",,"24/1/2015 07:40:27","24/1/2015 07:40:27","8/4/2019 07:52:15","37946145"
"005a652ab9c000b30ca9a291a11c60b8","20694013","8cc6061c43fd4e2b7e188f78e226c633","Tomcat","变有钱","0","0",,"10/3/2019 20:17:16","10/3/2019 20:17:16","8/4/2019 03:55:25","619124528"
"0075447603d3acb99c5bcc59fdcdaa85","52707189","0","匿名用户","这里有女朋友一枚，需要领取吗？","16","1",,"26/12/2016 23:00:47","26/12/2016 23:00:47","8/4/2019 04:06:20","137794819"
"007dae0a14fc7d1e3d4f3f978f57740e","22148480","0","匿名用户","卧槽！这个世界怎么了？耍流氓都变得这么理直气壮了？","0","0",,"7/10/2015 13:22:00","7/10/2015 13:22:00","7/4/2019 18:24:08","66651167"
"0084d5aa477f58c15f1ad6171bb976a6","26753619","5863a2b2189c140ce3c5a531925a8854","昔年","我觉得这个问题应该是“仁者见仁智者见智”每一对情侣所处的情况都不同，每一个恋爱中的人对另一半的需求也不同。男生点开这个问题去学习，的确是一件值得鼓励的事情，但问题的关键在于“你把这些不一定合适你们的方案学习并且做到了多少？”很多男生可能仅限于，打开收藏点赞，退出知乎，很久很久都留在你的收藏夹不去用。然后还有一种我都学习了（自行脑补我用了）的优越感。我觉得不是很可取。（女生类似）一味地去学习这个问…","1","1",,"15/2/2019 12:10:31","15/2/2019 12:10:31","8/4/2019 06:24:45","598621881"
"00a18cdeb9f2856d2ff3ea00b0e9dae1","52231322","4e7a29f15be7affc4996b752adaee8f2","瑟胖子","小时候，被教育先苦后甜。被教育劳动创造财富。所以一直很努力。 长大后，发现根本不是这样。劳动不能创造财富。历史上从来没有劳动能致富的。随便房子涨一下，股票涨一下，就是工薪阶层一辈子努力工作的工资。 先苦后甜不是你现在努力，之后生活会甜。 而是祖先父辈的努力，现在你很甜。 小时候不明白鲁迅的文章里的吃人是什么，觉得社会好美好，人人和谐。长大后发现好复杂，好黑暗，生活好艰难。 每个人的世界都会在成长后改…","0","2",,"15/11/2016 04:16:39","15/11/2016 04:20:57","7/4/2019 18:26:29","131323266"
"00a46cdfddd892bd1aeedeba0a816b76","20694013","5c65db8954c8687138fbe40bc124eaa1","Charlie Hua","不管成不成勇敢去做就好了，因为只有做了才有可能成，不足肯定没戏，不是吗","0","0",,"8/9/2014 22:55:53","8/9/2014 22:55:53","8/4/2019 02:07:56","30301848"
"00d00ede89288fd7c64469dbb354d9e2","19895789","0","匿名用户","“你回学校了？” 对方：“今晚校园里妖风好大啊” - 一句话发现自己找到了soulmate","1","1",,"6/10/2014 07:57:17","6/10/2014 07:57:17","8/4/2019 01:40:31","31438680"
"00d816ecac1c8d55ed941aa1c0874fc3","23049278","42d0d420d5fbf0c4d0f04b0ca9a154b9","知乎用户","商业故事推荐你一个微信大号，他们主要是写企业家深度报道的，还有一些案例，可以去看看是否感兴趣。名字是：华商韬略","1","0",,"4/7/2016 11:43:11","4/7/2016 11:43:11","8/4/2019 01:23:02","109261534"
"00dbfde8b3d5aaa70505488028cc6912","26753619","ba5fe74647da1cb2b172a989c723d7ec","橙子妹妹","每个人对好男友的标准都是不同的，适合自己的就是最优秀的。","0","0",,"25/1/2015 08:51:20","25/1/2015 08:51:20","8/4/2019 07:52:07","38019251"
"00de0a6f308cba034c8a8eb00ed05d6b","266574241","1965c5f1cf12d303415c3fb38c0ec5a1","白?","秒速五厘米(电影摘录)一想到这已不再是想见面就可以乘电车相见的距离，还是，有点那么点寂寞。我们俩将来会上同一所中学，以后也会永远在一起，当时的我，不知为何，一直这样坚信着。我家附近有个很颗的樱花树，到了春天，那棵树上的花瓣，大概也会以每秒5厘米的速度飘落。而我则在想，要是春天也能和贵树一起来该有多好啊！ [图片] 站与站之间的距离，长得令人难以置信;电车在站台停留的时间，也久的那样脱离现实 。不管是窗外那未曾见…","0","6",,"7/1/2019 10:22:18","7/1/2019 10:22:58","8/4/2019 07:48:48","568238831"
"00fde7f4887b1534318e0a07b510323a","266574241","f60855dffed43e4424e0cb35a3c4d804","晨曦中的琳?","意有所?，?亦同趣。??《始得西山宴??》柳宗元????，冷冷清清，????戚戚。??《??慢?秋情》李清照","0","0",,"15/11/2018 20:59:00","15/11/2018 21:01:54","8/4/2019 07:49:52","532259601"
"011c2724a399fe1d2c79f9201c3c6b5f","266574241","348d40ef916d29e0dd05ade191edc7b6","辰溪","“你曾说想去天上看海，想去海底观天。我问你同谁一起，你说，无，一个人就好”??歌曲《此日无事》","0","3",,"27/10/2018 22:04:58","27/10/2018 22:04:58","8/4/2019 07:54:00","519605157"
"014ea8d02c7cf67f939a943c10c542d0","299171677","438a8c6bc4d4c2011e16af90757208e9","静静","没怀孕以前只吃蛋清，从来不吃蛋黄，怀孕了只吃蛋黄不吃蛋清，一口都不想吃，觉得世界上最好吃的东西就是白水煮挂面，吃不够，还强烈推荐所有人吃，生完以后突然不爱吃了，怎么都想不起白水煮挂面有啥好吃的！难吃！","0","0",,"2/1/2019 23:47:29","2/1/2019 23:47:29","7/4/2019 18:34:53","565110152"
