"url_object_id","question_id","title","content","topics","answer_num","comments_num","watch_user_num","click_num","url","crawl_time"
"03a97db8a237346e0cb9a577fefc5817","59227915","护照为什么要叫「护照」？","无","语言,汉语,词语,汉语词汇,现代汉语","29","2","581","187155","https://www.zhihu.com/question/59227915","8/4/2019 01:45:36"
"051f4f105188ca58dab5b20bec0a3610","24150008","有哪些一次购买、没有内购、玩时不用联网拖时间的良心 iOS 游戏？","无","iOS,iOS 游戏,单机游戏,iOS 应用推荐,游戏内购","239","7","13447","1573811","https://www.zhihu.com/question/24150008","8/4/2019 06:14:03"
"062dd1ae03c2c6928d64d3c66f134757","63976911","如何看待航天博士刘从新「战死沙场」？","无","职业发展,人生意义,薪酬待遇,航天,中国航天","426","39","3926","2849164","https://www.zhihu.com/question/63976911","8/4/2019 01:22:18"
"0651ebe6003e5a825695d57c215d019a","59896834","红包算自己的钱还是父母的？","无","安瑞传媒","1","0","3","233","https://www.zhihu.com/question/59896834","7/4/2019 23:45:07"
"066fe4c17b27de875afdd0fb7b09b14c","19774356","以前一些作家史官写书时，为了避讳（空格、或“上讳”），后世对这些人名是如何考证的呢？","无","历史,文献,古文,避讳","1","0","17","2009","https://www.zhihu.com/question/19774356","8/4/2019 06:29:47"
"078979b231a904023cd6c989c28c91f4","299427536","准备挑一把古琴，练习琴啊预算五千？","无","乐器,预算,古琴","4","0","4","793","https://www.zhihu.com/question/299427536","8/4/2019 00:01:17"
"07a6c7b032f046853105ae828c1952ff","19997262","在知乎上，最值得关注的旅游系列问答有哪些？","无","旅行,问答专题整理","4","2","5182","117212","https://www.zhihu.com/question/19997262","8/4/2019 00:37:13"
"0dfc2b05bb9171efddfc6afee5df00ee","308297546","你们买过最物超所值的汉服是哪件？","无","汉服,古代服饰,民族服饰","7","0","9","1977","https://www.zhihu.com/question/308297546","7/4/2019 18:13:36"
"1021e7470747f346c4d7117a7ca5a0b7","31521524","如何看待频繁跳槽？","无","职业生涯,职业发展,职业规划","9","0","93","60293","https://www.zhihu.com/question/31521524","8/4/2019 00:01:59"
"10286b0bdfc3677807ca27053e889311","21057529","背英语单词怎么才能记住中文意思？","无","英语,背单词,英语词汇","8","0","107","29539","https://www.zhihu.com/question/21057529","8/4/2019 00:26:28"
"199985fd29d7ab3c24f63b548c72041e","301228140","我们真的看不懂人心吗？","无","数据分析,《看电影》杂志,看电影,《看理想》,看知乎","4","0","3","233","https://www.zhihu.com/question/301228140","7/4/2019 23:45:05"
"1c65edd71cd38a06265d4fa6d14c2eea","317532286","加拿大的PayPal安全吗？","无","PayPal,加拿大","2","0","3","43","https://www.zhihu.com/question/317532286","7/4/2019 18:12:49"
"1e97fa2a55819a3eb082e16992000ea9","302460137","如何追回一个已经拒绝你的女生？","无","女生,男生,男生女生","1","86","10505","5887095","https://www.zhihu.com/question/302460137","8/4/2019 01:24:48"
"1f232f0fd42511144e28baa6b1c219d9","21967121","能否精确地分析中国房价的昂贵（和西欧、美国相比）？","无","经济,房价","2","15","148","9130","https://www.zhihu.com/question/21967121","8/4/2019 01:21:38"
"22a0853205d117c25e0d0549071bb787","19563079","你想开一家什么样的店？","无","创业,调查类问题,生活方式,理想,开店","507","9","5196","1115424","https://www.zhihu.com/question/19563079","8/4/2019 00:06:53"
